 32|23.8S|14.1W|0 37 44.1 +40 49 27|-391.4|  8.2| 180| 180|  0|25.5|0.35|1|2|c|                       
 33|23.6S|12.5E|0 39 36.1 +40 33 25|-395.5| 14.4| 120| 140|  0|23.0|0.43|1|3|c|                       
 34|22.8S| 4.8E|0 39 06.9 +40 38 44|-482.1|     | 220| 360| 40|22.5|0.49|1|1|p|                       
 35|21.7S|11.2E|0 39 37.0 +40 35 42|-383.1| 18.6| 160| 280|  0|19.5|0.41|1|3|p|                       
 36|18.6S|12.3E|0 39 51.1 +40 37 29|-379.0|  8.2| 260| 420|122|28.5|0.46|2|2|c|                       
 37|17.4S| 8.9W|0 38 26.7 +40 51 20|-424.3| 14.4| 100| 220|  0|27.0|0.33|1|3|c|                       
 38|16.4S| 8.1E|0 39 41.4 +40 41 48|-436.7| 12.4| 100| 120|  0|17.0|0.41|1|3|c|                       
 39|16.3S| 8.3W|0 38 32.9 +40 51 51|-436.7| 10.3| 160| 280| 39|23.0|0.43|1|3|c|                       
 40|15.9S|12.0E|0 39 59.1 +40 39 46|-366.6| 12.4| 280| 520| 45|24.0|0.50|2|3|c|                       
 41|15.3S| 8.2W|0 38 36.5 +40 52 37|-428.5| 12.4| 140| 320| 44|26.5|0.34|1|3|c|                       
 42|11.2S| 9.5W|0 38 44.4 +40 56 40|-403.7| 14.4| 100| 120|  0|43.0|0.28|1|3|c|                       
 43| 8.8S| 9.7E|0 40 12.4 +40 46 52|-387.3|  8.2| 260| 360|132|27.5|0.33|1|2|p|                       
 44| 8.4S| 8.1E|0 40 07.1 +40 48 08|-354.3|     | 100| 240| 22|16.0|0.50|1|1|c|                       
 45| 8.3S|10.6E|0 40 17.7 +40 46 37|-354.3| 20.6| 500| 800| 37|50.0|0.44|2|3|c|                       
 46| 6.4S|14.4E|0 40 39.9 +40 45 50|-354.3| 20.6| 560| 820| 30|24.0|0.50|1|2|p|                       
 47| 6.1S|12.8W|0 38 46.9 +41 02 43|-313.0| -8.2| 200| 380| 75|22.5|0.31|1|2|c|Blend of three holes   
 48| 5.5S|11.0E|0 40 28.4 +40 48 38|-337.8| 14.4| 220| 360|  0|29.5|0.31|2|3|c|                       
 49| 5.1S| 9.9W|0 39 02.1 +41 01 44|-354.3| 16.5| 160| 260|  0|27.0|0.41|2|3|c|As 50, different V_Hel_
 50| 5.0S|10.2W|0 39 01.2 +41 01 59|-383.1| 12.4| 100| 120|  0|20.5|0.39|1|2|c|As 49, different V_Hel_
 51| 3.5S|14.4W|0 38 48.7 +41 05 44|-308.9| -8.2| 240| 360|  0|25.0|0.32|2|2|c|                       
 52| 3.1S|12.7W|0 38 56.7 +41 04 60|-337.8| 24.7| 480| 600| 38|17.0|0.41|1|2|p|                       
 53| 1.4S|11.7E|0 40 44.4 +40 51 24|-313.0| 10.3| 160| 240|  0|41.0|0.32|2|3|c|                       
 54| 0.6S|10.4E|0 40 41.8 +40 52 55| 341.9| 12.4| 500| 900| 51|30.0|0.43|1|2|p|                       
 55| 1.5N|10.0W|0 39 23.4 +41 07 02|-292.4| 14.4| 160| 240|  0|18.5|0.27|1|3|c|                       
 56| 1.8N|10.9E|0 40 51.6 +40 54 25|-329.5|  8.2| 140| 140|  0|14.5|0.48|1|2|c|                       
 57| 1.8N|12.6E|0 40 58.7 +40 53 24|-296.6| 10.3| 160| 240| 57|32.0|0.22|1|3|c|                       
 58| 2.5N|15.6W|0 39 02.9 +41 11 17|-292.4|     | 140| 240|127|28.0|0.25|1|1|c|                       
 59| 2.8N| 9.3E|0 40 48.0 +40 56 12|-329.5| 12.4| 140| 200|  0|18.5|0.49|1|2|c|                       
 60| 4.2N| 8.2W|0 39 39.5 +41 08 03|-296.6| 16.5| 480| 480|  0|21.5|0.37|2|2|p|                       
 61| 5.6N| 9.6E|0 40 58.7 +40 58 12|-280.1|-12.4| 260| 400|  0|26.0|0.23|2|2|c|                       
 62| 6.1N|10.3E|0 41 03.2 +40 58 12|-300.7| 20.6| 620| 620|  0|35.5|0.37|2|2|c|                       
 63| 7.6N|11.9E|0 41 14.8 +40 58 26|-284.2|  8.2| 380| 580|139|45.0|0.27|1|2|c|                       
 64| 8.9N|13.6E|0 41 26.3 +40 58 25|-271.8| 10.3| 160| 220|104|33.0|0.18|1|3|c|Blend of two holes     
 65|11.6N| 8.8E|0 41 14.9 +41 03 28|-275.9| 12.4| 160| 260|  0|24.5|0.24|1|2|c|                       
 66|12.8N|10.4E|0 41 25.6 +41 03 27|-271.8| 20.6| 500| 560|  0|31.0|0.35|2|2|c|Concentric shell 5.0'  
 67|13.0N|13.2W|0 39 47.5 +41 18 05|-255.3| 12.4| 140| 240| 50|29.5|0.27|1|2|c|Blend of two holes     
 68|14.7N|14.3W|0 39 48.4 +41 20 05|-263.6| 12.4| 220| 280|  0|23.5|0.38|3|3|c|See also 69            
 69|14.7N|14.3W|0 39 48.4 +41 20 05|-263.6|     |1000|1400| 39|23.5|0.38|3|1|p|Concentric with 68     
 70|16.0N| 8.8E|0 41 29.2 +41 06 58|-214.1| -8.2| 120| 200|  0|13.5|0.74|1|2|c|                       
 71|16.0N| 9.6E|0 41 32.8 +41 06 27|-247.1| 12.4| 380| 620|  0|39.0|0.36|2|3|c|                       
 72|17.6N|10.9W|0 40 11.6 +41 20 20|-218.2| 18.6| 120| 260| 67|26.0|0.35|1|3|c|                       
 73|19.0N|12.9W|0 40 08.1 +41 22 36|-226.5|-12.4|  80| 120|  0|31.5|0.22|1|2|c|                       
 74|19.0N|10.3W|0 40 18.8 +41 21 05|-218.2| 18.6| 140| 160|  0|24.0|0.38|1|3|c|                       
 75|19.6N|11.2W|0 40 17.0 +41 22 05|-234.7| 12.4| 140| 280| 67|32.5|0.28|1|2|c|                       
 76|20.7N|10.7E|0 41 52.5 +41 09 26|-201.8|     | 180| 300| 32|49.0|0.18|1|1|c|Close to 79 and 77     
 77|21.2N|12.2E|0 42 00.5 +41 08 54|-226.5| 20.6| 220| 220|  0|24.0|0.33|2|2|c|Close to 76 and 79     
 78|21.8N|13.3W|0 40 15.2 +41 25 05|-210.0|-16.5| 120| 280| 44|19.0|0.21|1|2|c|                       
 79|21.9N|11.5E|0 41 59.6 +41 09 55|-201.8|     | 180| 180|  0|50.5|0.24|1|1|c|Close to 76 and 77     
 80|22.5N| 9.5W|0 40 34.0 +41 23 20|-193.5| 20.6| 280| 360|  0|20.0|0.40|1|3|c|                       
 81|22.8N|15.6W|0 40 09.0 +41 27 20|-222.4|-16.5| 140| 240|142|25.5|0.35|1|2|c|                       
 82|23.1N|11.6W|0 40 26.9 +41 25 05|-226.5| 16.5| 360| 460|  0|24.0|0.33|1|3|p|                       
 83|23.4N| 8.4W|0 40 41.2 +41 23 20|-214.1| 10.3|  80| 120|  0|18.0|0.22|1|3|c|                       
 84|24.6N|17.4W|0 40 07.2 +41 29 50|-238.8| 10.3| 180| 180|  0|26.5|0.42|1|3|c|                       
 85|24.7N| 8.8N|0 40 43.9 +41 24 34|-226.5|  8.2| 180| 240|  0|17.5|0.40|1|2|c|                       
 86|25.8N| 9.4W|0 40 44.8 +41 25 49|-197.6|-12.4| 140| 300|137|40.0|0.27|2|2|p|                       
 87|25.8N| 9.9E|0 42 06.0 +41 13 55|-205.9|     | 200| 460| 26|58.0|0.24|1|1|c|                       
 88|25.9N|10.0W|0 40 43.0 +41 26 19|-201.8| -8.2| 100| 180| 35|50.5|0.28|1|2|c|                       
 89|27.0N| 9.1W|0 40 50.2 +41 26 34|-193.5|-28.9|  80| 140|  0|38.0|0.24|1|2|c|                       
 90|27.2N| 2.7E|0 41 40.2 +41 19 29| -61.6|-12.4| 260| 260|  0| 8.5|0.47|1|2|p|                       
 91|27.3N| 9.8E|0 42 10.5 +41 15 09|-172.9| 16.5| 180| 500|152|29.0|0.21|2|2|p|                       
 92|27.3N|10.2W|0 40 46.6 +41 27 34|-177.0| -4.1| 140| 140|  0|15.5|0.32|1|2|p|                       
 93|27.6N|12.3E|0 42 22.1 +41 13 52|-181.1| -8.2| 160| 300| 35|18.5|0.32|1|2|c|                       
 94|27.7N| 8.4E|0 42 06.1 +41 16 25|-201.8|     | 240| 240|  0|27.0|0.22|1|1|p|                       
 95|27.9N|22.1W|0 39 58.2 +41 35 19|-238.8| 12.4| 140| 300| 37|19.0|0.37|1|2|c|                       
 96|28.4N| 9.3E|0 42 12.3 +41 16 24|-144.0|-16.5| 220| 240|  0|25.0|0.48|2|2|c|                       
 97|28.9N|15.9W|0 40 27.8 +41 32 19|-226.5|     | 240| 380|132|17.0|0.29|3|1|c|                       
 98|29.6N|17.1W|0 40 25.1 +41 33 34|-218.2| 16.5| 260| 500|164|14.0|0.29|1|3|p|                       
 99|29.9N|12.0E|0 42 28.4 +41 15 51|-177.0|-12.4| 180| 360|  0|20.0|0.25|1|2|c|                       
100|30.4N| 8.6E|0 42 16.0 +41 18 24|-197.6| 12.4| 220| 380|  0|14.0|0.14|1|2|p|                       
101|30.7N|11.9E|0 42 30.2 +41 16 36|-152.3|     | 100| 160|154|31.5|0.35|2|1|c|                       
102|30.9N|10.4W|0 40 57.4 +41 30 33|-197.6| 16.5| 240| 340|  0|33.5|0.27|1|2|c|                       
103|31.0N|12.8W|0 40 47.6 +41 32 04|-214.1| 12.4| 420| 420|  0|18.5|0.38|1|3|c|                       
104|31.0N|17.3W|0 40 28.7 +41 34 49|-243.0| 12.4| 100| 140|  0|20.0|0.25|1|2|c|                       
105|31.3N|14.5W|0 40 41.3 +41 33 19|-189.4| -8.2|  80| 160|  0|14.0|0.29|1|2|p|                       
106|31.9N|16.9W|0 40 33.2 +41 35 19|-230.6| -8.2| 280| 460|  0|25.5|0.31|2|2|c|                       
107|31.9N| 8.1E|0 42 18.7 +41 19 53|-177.0| 10.3| 220| 440| 23|31.5|0.38|2|3|c|                       
108|32.3N| 9.8W|0 41 04.6 +41 31 17|-193.5| 16.5| 100| 160|  0|27.5|0.33|1|2|c|                       
109|32.5N|11.3W|0 40 59.3 +41 32 18|-177.0| 12.4| 140| 200| 39|37.5|0.29|1|3|c|                       
110|33.0N| 8.3E|0 42 23.2 +41 20 38|-139.9| 16.5| 160| 180|  0|30.0|0.33|2|2|c|                       
111|33.5N|19.4W|0 40 27.9 +41 38 03|-226.5|     | 180| 200|  0|14.5|0.34|1|1|c|                       
112|33.8N| 8.0W|0 41 17.2 +41 31 16|-148.2|     | 140| 320| 52|34.0|0.32|1|1|c|                       
113|33.9N| 9.8E|0 42 32.2 +41 20 21|-168.8| 16.5| 140| 160|  0|28.0|0.25|2|2|c|                       
114|34.0N|17.5W|0 40 37.8 +41 37 18|-218.2| -8.2| 600| 800|  0|12.0|0.42|3|2|p|                       
115|34.5N|10.2E|0 42 35.7 +41 20 36|-177.0| 12.4| 360| 360|  0|30.0|0.33|3|2|p|                       
116|34.8N| 7.4E|0 42 25.1 +41 22 38|-127.5| 12.4| 200| 200|  0|35.0|0.29|2|2|c|                       
117|35.2N|10.3E|0 42 38.5 +41 21 05|-123.4|-16.5| 120| 200|138|14.0|0.36|1|2|p|                       
118|37.4N| 8.2W|0 41 28.0 +41 34 15|-127.5| -8.2| 120| 200|  0|18.0|0.44|1|2|c|                       
119|37.8N| 7.3W|0 41 33.4 +41 33 59|-123.4| -8.2| 100| 160|  0|10.5|0.29|1|2|c|                       
120|39.4N|17.8W|0 40 54.0 +41 41 46|-214.1|     | 460| 540| 45|13.0|0.31|3|1|p|                       
121|39.5N| 6.5E|0 42 36.9 +41 26 50|-115.2|  8.2| 160| 300|  0|28.0|0.21|1|2|c|                       
122|40.4N| 8.4W|0 41 37.1 +41 36 43|-139.9| 16.5| 220| 220|  0|27.0|0.37|2|2|c|                       
123|40.6N| 8.0E|0 42 46.8 +41 26 48|-115.2| 10.3| 240| 320|  0|29.0|0.34|1|3|c|                       
124|40.9N|14.3W|0 41 13.8 +41 40 45|-168.8|-12.4| 160| 220|  0|18.5|0.38|1|2|p|                       
125|41.4N|17.3W|0 41 03.0 +41 42 60|-210.0| 12.4| 220| 360| 54|15.0|0.27|1|2|c|                       
126|41.9N| 7.2W|0 41 47.0 +41 37 12| -98.7|-12.4| 160| 260|124|25.5|0.31|2|2|p|                       
127|42.1N| 9.1E|0 42 56.6 +41 27 16|-144.0| 20.6| 220| 420|  0|29.5|0.34|1|2|c|                       
128|43.5N| 7.2W|0 41 52.4 +41 38 26| -82.2| -8.2| 100| 160|  0| 7.5|0.40|1|2|p|                       
129|43.5N| 6.4E|0 42 49.6 +41 30 02| -82.2|-12.4| 120| 200| 40|28.0|0.36|2|2|c|                       
130|44.8N| 3.8W|0 42 11.3 +41 37 23| -69.8|-20.6| 680| 680|  0|16.5|0.48|3|2|p|                       
131|45.6N|17.1W|0 41 17.5 +41 46 12|-197.6|     | 140| 140|  0|22.5|0.40|1|1|c|                       
132|45.6N| 1.8E|0 42 37.2 +41 34 34| -61.6|-12.4| 480| 480|  0|42.0|0.45|1|2|p|                       
133|46.2N|11.4W|0 41 43.5 +41 43 10|-148.2|  8.2| 200| 260|100|21.0|0.33|1|3|c|                       
134|46.2N| 2.6E|0 42 42.6 +41 34 33| -69.8| -8.2| 100| 160| 32|47.0|0.19|1|2|c|                       
135|47.0N| 6.5E|0 43 01.4 +41 32 44| -82.2|     |  80| 240|170|30.0|0.17|1|1|c|                       
136|47.9N|14.9W|0 41 34.6 +41 46 40|-185.3|     | 240| 340| 45|26.5|0.34|1|1|c|                       
137|48.1N| 0.5E|0 42 40.0 +41 37 18| -57.5|     |  80| 140|  0|42.5|0.14|1|1|c|                       
138|49.3N| 2.9E|0 42 54.4 +41 36 45| -74.0|  8.2| 180| 240|  0|66.0|0.30|1|2|c|                       
139|50.7N| 1.8W|0 42 39.3 +41 40 47| -61.6| 18.6| 240| 420|  0|44.0|0.36|1|3|c|                       
140|S1.3N| 6.4W|0 42 21.4 +41 44 04| -61.6|-12.4| 120| 200|  0|33.0|0.45|1|2|c|                       
141|52.8N| 3.2W|0 42 40.3 +41 43 16| -57.5|     | 140| 280|130|45.5|0.29|1|1|c|                       
